gd,bgd,acc,bac,nt,bnt
0.048298542415153856,4.182053124766636e+88,2.1000904058774744e+64,4.212477941130911e+62,0.043701664498311144,0.04370127314100258
0.04823905466076761,3.5470090720267516e+89,1.09989654079405e+65,2.206233551971882e+63,0.043701664498311144,0.04370110321929338
0.04818120845969032,3.0083963502357777e+90,5.7623483727276e+65,1.1558438313556499e+64,0.043701664498311144,0.043701035362387675
0.048124932005517096,2.5515718782586997e+91,3.019801124028699e+66,6.057284765442328e+64,0.04370166449831109,0.04370039019049343
0.04807015782328705,2.1641161243299536e+92,1.5830175812874443e+67,3.175304559714664e+65,0.04370166449831109,0.04369969697643444
0.048016822452494834,1.8354954604614344e+93,8.300785307924072e+67,1.6650176061865096e+66,0.04370166449831042,0.04369914681766274
0.047964866155536134,1.556775788275985e+94,4.353877726531058e+68,8.733249687758113e+66,0.04370166449831142,0.0436971857706856
0.04791423264947087,1.3203796507091583e+95,2.284307183797656e+69,4.581990182700689e+67,0.0437016644983112,0.043694877890707695
0.047864868859160414,1.1198802262575842e+96,1.1988137287221435e+70,2.404647139777254e+68,0.043701664498311366,0.04369406472562154
0.04781672469000581,9.498266051655375e+96,6.293113935304186e+70,1.262307734909916e+69,0.04370166449831142,0.04368519901684065
0.04776975281865664,8.055955973927352e+97,3.3044104605385963e+71,6.628169975208767e+69,0.04370166449831098,0.04367707206480059
0.04772390850020686,6.832660435169128e+98,1.7355405757082643e+72,3.481243650581796e+70,0.04370166449831109,0.043674629409395704
0.04767914939050655,5.795122115043797e+99,9.117712323432164e+72,1.8288813628472094e+71,0.043701664498311144,0.0436734600309171
0.04763543538235221,4.9151338116275624e+100,4.79121132795035e+73,9.610477707912974e+71,0.043701664498311366,0.04369037317747909
0.047592728454399214,4.168771581791236e+101,2.518321347105809e+74,5.0513887848222585e+72,0.04370166449831103,0.04368409153721814
0.047550992531761815,3.535744329083801e+102,1.3239800730186176e+75,2.6557127428795135e+73,0.043701664498311144,0.04367852816104373
0.04751019335733264,2.9988421565848004e+103,6.962326498703384e+75,1.396542106599687e+74,0.04370166449831081,0.043672031672206235
0.04747029837294875,2.543468487281856e+104,3.6620828037221313e+76,7.345609020497726e+74,0.043701664498311144,0.04365638869762295
0.04743127660959673,2.1572432318889596e+105,1.9266419857563876e+77,3.86456546953481e+75,0.04370166449831142,0.04363900304702972
0.04739309858592178,1.8296662155637796e+106,1.0138442927768573e+78,2.0336251749502772e+76,0.0437016644983112,0.043637348855127434
0.047355736214365673,1.551831713220458e+107,5.3362629167665316e+78,1.0703772448101638e+77,0.0437016644983112,0.04359284893881277
0.047319162714310525,1.3161863326064113e+108,2.8092945403043557e+79,5.635038971680364e+77,0.04370166449831109,0.04353057721301734
0.047283352531669987,1.1163236627925599e+109,1.479278175033713e+80,2.96721829864379e+78,0.043701664498311144,0.04329660003381214
0.047248281264398784,9.46810105255249e+109,7.791003565982074e+80,1.562762753885297e+79,0.043701664498311144,0.04322016257092004
0.04721392559345117,8.030371524786334e+110,4.104180318667613e+81,8.232392762914044e+79,0.043701664498311144,0.043215002285947546
0.047180263218749074,6.810960980260586e+111,2.16245697731511e+82,4.337576272950213e+80,0.0437016644983112,0.042683538914608465
0.047147272799760775,5.77671771865705e+112,1.1396069815251608e+83,2.2858869588653296e+81,0.04370166449831109,0.042008339320162125
0.04711493390032179,4.899524119688845e+113,6.006865598463131e+83,1.2048904541464932e+82,0.04370166449831103,0.04100332390801681
0.047083226937362166,4.1555322189074194e+114,3.166828579859713e+84,6.352200599872778e+82,0.0437016644983112,0.04091671126952773
0.04705213313323453,3.524515361192731e+115,1.669873969310734e+85,3.349525925409414e+83,0.0437016644983112,0.03969848139401666
0.04702163447135416,2.9893183055501863e+116,8.806919663197459e+85,1.766540845418052e+84,0.043701664498311144,0.03722539396951552
0.04699171365489607,2.535390831400263e+117,4.645626692168362e+86,9.318455962047721e+84,0.0437016644983112,0.03580423741233668
0.04696235406831106,2.1503921666733974e+118,2.4509998121374986e+87,4.916351512034661e+85,0.043701664498311144,0.024124697739859646
0.046933539741437436,1.8238554834311013e+119,1.2933609206269702e+88,2.5942951469203284e+86,0.04370166449831109,0.021071656659401805
0.04690525531601358,1.546903339769708e+120,6.826097642642477e+88,1.3692165662564697e+87,0.0437016644983112,0.014724612898272205
0.04687748601440317,1.312006331822437e+121,3.603299892790058e+89,7.227698993898962e+87,0.04370166449831109,0.009359989803945423
0.046850217610366285,1.1127783944137261e+122,1.9024022164517673e+90,3.815943994379242e+88,0.0437016644983112,-0.08109208617351576
0.04682343640171949,9.43803185274242e+122,1.0045630418967278e+91,2.0150083266044974e+89,0.043701664498311144,-0.11951069477346077
0.046797129184742825,8.004868327831885e+123,5.305470316043827e+91,1.0642006939849499e+90,0.04370166449831103,-0.26406635247702803
0.04677128323020335,6.789330439407963e+124,2.8024725419254003e+92,5.621355028548504e+90,0.04370166449831109,-0.38053528600995845
